"layer","x","y","label","behavior","parameter","modifiers","rationale"
"1","","1","Game","To Layer","7","","Optional left-side entry: hold Nav x3 y4, tap x0 y1 to lock into RPG/Game Layer 7."
"1","5","1","Find","Key Press","F","L Ctrl","v1.5 Ctrl+F on support column, replacing duplicate F8."
"1","7","1","Prev Word","Key Press","Left","L Ctrl","v1.5 Ctrl+Left near arrow cluster."
"1","5","2","Del Prev Word","Key Press","Delete","L Ctrl","v1.5 Ctrl+Backspace using the board Backspace/Delete key name."
"1","11","2","Next Word","Key Press","Right","L Ctrl","v1.5 Ctrl+Right, replacing duplicate Page Down."
"1","5","3","Replace","Key Press","H","L Ctrl","v1.5 Ctrl+H on support column, replacing duplicate F12."
"2","7","4","Base","To Layer","0","","Right-thumb exit from locked Mouse Layer 2 back to Base."
"2","8","4","Base","To Layer","0","","Second right-thumb exit from locked Mouse Layer 2 back to Base."
"3","5","1","Monitor L","Key Press","Left","L GUI+L Shift","v1.5 Win+Shift+Left, replacing duplicate Win+D."
"3","5","2","App 5","Key Press","5","L GUI","v1.5 Win+5, replacing duplicate Win+4."
"3","10","2","Mouse Lock","To Layer","2","","Right-hand-only mouse entry: hold Window x8 y4, tap x10 y2, release to stay on Mouse Layer 2."
"3","11","2","Ptr Travel","Toggle Layer","8","","Toggle high-speed pointer travel overlay: hold Window x8 y4, tap x11 y2. Layer 8 is transparent except exit keys."
"3","12","2","Game","To Layer","7","","Optional right-side entry: hold Window x8 y4, tap x12 y2 to lock into RPG/Game Layer 7."
"3","5","3","Monitor R","Key Press","Right","L GUI+L Shift","v1.5 Win+Shift+Right, replacing duplicate Win+Right."
"7","1","1","PgUp/LB","Key Press","Page Up","","Left shoulder/tab/page key for RPG menus."
"7","2","1","Up","Key Press","Up","","Left-hand WASD-style movement: W position sends Up."
"7","3","1","PgDn/RB","Key Press","Page Down","","Right shoulder/tab/page key for RPG menus."
"7","7","1","PgUp/LB","Key Press","Page Up","","Right-hand menu shoulder previous page."
"7","9","1","Up","Key Press","Up","","Right-hand arrow cluster: Up."
"7","11","1","PgDn/RB","Key Press","Page Down","","Right-hand menu shoulder next page."
"7","1","2","Left","Key Press","Left","","Left-hand WASD-style movement: A position sends Left."
"7","2","2","Down","Key Press","Down","","Left-hand WASD-style movement: S position sends Down."
"7","3","2","Right","Key Press","Right","","Left-hand WASD-style movement: D position sends Right."
"7","4","2","Confirm","Key Press","Z","","RPG Maker-style confirm/action key on the left prime row."
"7","8","2","Left","Key Press","Left","","Right-hand arrow cluster: Left."
"7","9","2","Down","Key Press","Down","","Right-hand arrow cluster: Down."
"7","10","2","Right","Key Press","Right","","Right-hand arrow cluster: Right."
"7","1","3","Cancel","Key Press","X","","RPG Maker-style cancel/menu-back key near the movement cluster."
"7","2","3","Menu","Key Press","C","","Common alternate action/menu key for games that use Z/X/C patterns."
"7","3","3","Dash","Key Press","LeftShift","","Dash/run modifier for RPG movement."
"7","4","3","Esc/Menu","Key Press","Escape","","Escape/menu key for pause/cancel in RPG Maker-style games."
"7","7","3","Confirm","Key Press","Z","","Right-hand confirm/action key."
"7","8","3","Cancel","Key Press","X","","Right-hand cancel/back key."
"7","9","3","Menu","Key Press","C","","Right-hand alternate action/menu key."
"7","10","3","Dash","Key Press","LeftShift","","Right-hand dash/run modifier."
"7","11","3","Esc/Menu","Key Press","Escape","","Right-hand escape/menu key."
"7","3","4","Exit Base","To Layer","0","","Left-thumb exit from RPG/Game Layer 7 back to Base."
"7","4","4","Space/Confirm","Key Press","Space","","Thumb confirm/action for games that accept Space."
"7","5","4","Exit Base","To Layer","0","","Left support/thumb exit from RPG/Game Layer 7 back to Base."
"7","7","4","Exit Base","To Layer","0","","Right-thumb exit from RPG/Game Layer 7 back to Base."
"7","8","4","Exit Base","To Layer","0","","Second right-thumb exit from RPG/Game Layer 7 back to Base."
"7","4","5","Click","Mouse Key Press","MB1","","Optional left click for RPGs that use mouse interaction."
"7","5","5","Right Click","Mouse Key Press","MB2","","Optional right click/menu for mouse-enabled RPGs."
"7","7","5","Enter/Confirm","Key Press","Return Enter","","Right-thumb confirm/action for games that accept Enter."
"8","7","4","Exit Travel","To Layer","0","","Right-thumb exit from Pointer Travel Layer 8 back to Base precision mode."
"8","8","4","Exit Travel","To Layer","0","","Second right-thumb exit from Pointer Travel Layer 8 back to Base precision mode."
